filename,date,file_exists,can_read,missing_base_cols,missing_cities,total_rows,complete_rows,error
china_cities_20180517.csv,2018-05-17,True,True,[],[],360,359,
china_cities_20180518.csv,2018-05-18,True,True,[],[],360,245,
china_cities_20180519.csv,2018-05-19,True,True,[],[],360,353,
china_cities_20180520.csv,2018-05-20,True,True,[],[],360,358,
china_cities_20180521.csv,2018-05-21,True,True,[],[],360,360,
china_cities_20180522.csv,2018-05-22,True,True,[],[],360,355,
china_cities_20180523.csv,2018-05-23,True,True,[],[],360,355,
china_cities_20180524.csv,2018-05-24,True,True,[],[],360,360,
china_cities_20180525.csv,2018-05-25,True,True,[],[],360,355,
china_cities_20180526.csv,2018-05-26,True,True,[],[],360,354,
china_cities_20180527.csv,2018-05-27,True,True,[],[],360,360,
china_cities_20180528.csv,2018-05-28,True,True,[],[],360,358,
china_cities_20180529.csv,2018-05-29,True,True,[],[],360,352,
china_cities_20180530.csv,2018-05-30,True,True,[],[],360,346,
china_cities_20180531.csv,2018-05-31,True,True,[],[],360,348,
china_cities_20180601.csv,2018-06-01,True,True,[],[],360,359,
china_cities_20180602.csv,2018-06-02,True,True,[],[],360,356,
china_cities_20180603.csv,2018-06-03,True,True,[],[],360,354,
china_cities_20180604.csv,2018-06-04,True,True,[],[],360,359,
china_cities_20180605.csv,2018-06-05,True,True,[],[],360,353,
china_cities_20180606.csv,2018-06-06,True,True,[],[],360,330,
china_cities_20180607.csv,2018-06-07,True,True,[],[],360,357,
china_cities_20180608.csv,2018-06-08,True,True,[],[],360,360,
china_cities_20180609.csv,2018-06-09,True,True,[],[],360,353,
china_cities_20180610.csv,2018-06-10,True,True,[],[],360,350,
china_cities_20180611.csv,2018-06-11,True,True,[],[],360,353,
china_cities_20180612.csv,2018-06-12,True,True,[],[],360,338,
china_cities_20180613.csv,2018-06-13,True,True,[],[],360,346,
china_cities_20180614.csv,2018-06-14,True,True,[],[],360,360,
china_cities_20180615.csv,2018-06-15,True,True,[],[],360,359,
china_cities_20180616.csv,2018-06-16,True,True,[],[],360,360,
china_cities_20180617.csv,2018-06-17,True,True,[],[],360,360,
china_cities_20180618.csv,2018-06-18,True,True,[],[],360,360,
china_cities_20180619.csv,2018-06-19,True,True,[],[],345,340,
china_cities_20180620.csv,2018-06-20,True,True,[],[],360,356,
china_cities_20180621.csv,2018-06-21,True,True,[],[],360,360,
china_cities_20180622.csv,2018-06-22,True,True,[],[],360,358,
china_cities_20180623.csv,2018-06-23,True,True,[],[],360,358,
china_cities_20180624.csv,2018-06-24,True,True,[],[],360,360,
china_cities_20180625.csv,2018-06-25,True,True,[],[],360,359,
china_cities_20180626.csv,2018-06-26,True,True,[],[],345,345,
china_cities_20180627.csv,2018-06-27,True,True,[],[],345,343,
