parameter,count,mean,std,min,25%,50%,75%,max
v10_mean,120.0,-0.1615988068153999,0.4793809113100127,-1.1962940860606992,-0.5487053582355741,-0.1136330475067607,0.203158079700043,0.8384029024178946
v10_std,120.0,1.5507253226550441,0.3011914609861607,0.9970747944114724,1.344986564919454,1.5211294574919942,1.7053989725889571,2.306089552591567
v10_min,120.0,-5.115052200675412,1.1674098479901795,-7.907237680246913,-5.9798821197530865,-5.235896251851852,-4.533637335185185,-2.0335586055555557
v10_max,120.0,3.7280301030597736,1.0188059075890143,1.6342941130246913,3.0638550197530865,3.6723560277777776,4.384042043209877,5.988437795061729
v10_median,120.0,-0.06093574513966085,0.44151764562603085,-1.0470134571617282,-0.39121799610030866,-0.02683008436481481,0.2867969231836419,0.7503024424382716
d2m_mean,120.0,1.045163973186891,12.388137998830613,-19.581471906942784,-9.833812989512811,-0.035160580114164175,12.462175064300412,21.572890000663747
d2m_std,120.0,4.959914779548755,1.492481299710913,1.7944814291936573,3.886571579860005,5.092660993984644,5.983557587245875,8.716421997502922
d2m_min,120.0,-11.910820781893005,13.758800646415652,-37.48472839506173,-22.16970987654321,-14.32637037037037,-0.8853611111111113,16.311691358024692
d2m_max,120.0,11.033395164609056,10.175882896877264,-10.90658024691358,3.126824074074074,13.130475308641975,19.74934259259259,26.089506172839506
d2m_median,120.0,1.3897969650205761,12.603876031763573,-19.76385802469136,-9.83176388888889,0.18815740740740744,12.987682098765433,21.907141975308644
t2m_mean,120.0,10.709793991012626,11.081244498533605,-8.119883778043276,0.5547430426954734,11.927198585390947,20.894230127439265,25.813471989911058
t2m_std,120.0,4.773830966005243,0.9045867825310182,2.8627537441905546,4.080268610741573,4.730621154369848,5.319819527614558,6.9839164806328355
t2m_min,120.0,-0.3710657407407407,11.718147962940622,-22.679037037037038,-11.659638888888889,-0.21062962962962967,10.666453703703704,19.386444444444443
t2m_max,120.0,23.009566049382716,10.264166581874084,3.5247037037037035,14.454151234567902,25.566481481481482,32.40664814814815,37.23085185185185
t2m_median,120.0,10.48550730452675,11.030404224699417,-8.23924074074074,0.21272376543209875,11.50666975308642,20.9029012345679,25.22088271604938
blh_mean,120.0,526.949815125184,163.3997647271706,239.14201006806718,411.5784450644407,476.70335252603127,658.2414417520741,942.0569539782665
blh_std,120.0,591.3618355515017,189.30421416056544,258.23164444863517,440.7344030515538,526.2157714215582,729.7141832491404,1089.5271825957636
blh_min,120.0,20.459654105401235,4.0070874616360594,13.254728308641974,17.445945151234568,19.87716463580247,23.338805941358025,34.39981749382716
blh_max,120.0,2751.56758968107,739.1403871421022,1372.618535802469,2169.152662037037,2707.0755814814815,3368.8964864197533,4269.803925925926
blh_median,120.0,242.3552309376543,86.66716456661604,77.57988986419753,176.41931500462965,235.2416687530864,294.7405405231481,479.79944412345674
cvh_mean,120.0,0.37562534402469133,4.3477862376661785e-17,0.3756253440246913,0.3756253440246913,0.3756253440246913,0.37562534402469133,0.37562534402469133
cvh_std,120.0,0.31473582775327863,4.257510948498635e-17,0.3147358277532786,0.3147358277532786,0.3147358277532786,0.31473582775327863,0.31473582775327863
cvh_min,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cvh_max,120.0,0.9392191000000003,3.3446342046168394e-16,0.9392191,0.9392191,0.9392191,0.9392191,0.9392191
cvh_median,120.0,0.32162476,0.0,0.32162476,0.32162476,0.32162476,0.32162476,0.32162476
lsm_mean,120.0,0.992387432222222,1.750985721581562e-16,0.9923874322222221,0.9923874322222221,0.9923874322222221,0.9923874322222223,0.9923874322222224
