parameter,count,mean,std,min,25%,50%,75%,max
cvh_max,120.0,0.375625342130661,0.0,0.375625342130661,0.375625342130661,0.375625342130661,0.375625342130661,0.375625342130661
cvh_median,120.0,0.375625342130661,0.0,0.375625342130661,0.375625342130661,0.375625342130661,0.375625342130661,0.375625342130661
lsm_mean,120.0,0.9923874686161677,1.6542926604319227e-08,0.9923874139785767,0.9923874735832214,0.9923874735832214,0.9923874735832214,0.9923874735832214
lsm_std,120.0,1.142422358194987e-07,1.654292660431923e-08,5.960464477539063e-08,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07,1.1920928955078125e-07
lsm_min,120.0,0.9923873543739319,0.0,0.9923873543739319,0.9923873543739319,0.9923873543739319,0.9923873543739319,0.9923873543739319
lsm_max,120.0,0.9923873543739319,0.0,0.9923873543739319,0.9923873543739319,0.9923873543739319,0.9923873543739319,0.9923873543739319
lsm_median,120.0,0.9923873543739319,0.0,0.9923873543739319,0.9923873543739319,0.9923873543739319,0.9923873543739319,0.9923873543739319
cvl_mean,120.0,0.6138246655464172,0.0,0.6138246655464172,0.6138246655464172,0.6138246655464172,0.6138246655464172,0.6138246655464172
cvl_std,120.0,5.960464477539063e-08,0.0,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08
cvl_min,120.0,0.6138246059417725,0.0,0.6138246059417725,0.6138246059417725,0.6138246059417725,0.6138246059417725,0.6138246059417725
cvl_max,120.0,0.6138246059417725,0.0,0.6138246059417725,0.6138246059417725,0.6138246059417725,0.6138246059417725,0.6138246059417725
cvl_median,120.0,0.6138246059417725,0.0,0.6138246059417725,0.6138246059417725,0.6138246059417725,0.6138246059417725,0.6138246059417725
avg_tprate_mean,120.0,1.9253555252370565e-05,2.4662652823342217e-05,3.054213593145505e-08,2.285181437855499e-06,8.98310372576816e-06,2.422699571980047e-05,0.00011391207226552069
avg_tprate_std,120.0,3.667293046335137e-05,4.225966049426683e-05,7.387757960941599e-08,6.748140890522336e-06,2.432136989227729e-05,4.9112822125607636e-05,0.00021730978915002197
avg_tprate_min,120.0,2.1358330693175647e-08,1.2345024477697175e-07,0.0,0.0,0.0,0.0,1.115808686336095e-06
avg_tprate_max,120.0,0.00016725010822421876,0.00019477613058528005,3.059336961541703e-07,3.585775812098291e-05,0.00011590166468522511,0.00020368848709040321,0.0010827253572642803
avg_tprate_median,120.0,4.395524498349706e-06,8.997611491305667e-06,0.0,1.4908827505877298e-08,3.5026928912884614e-07,4.045573291477922e-06,4.747895945911296e-05
mn2t_mean,120.0,9.79701317915072,10.880834551465407,-8.682806015014648,-0.12588397972285748,10.407212734222412,20.07898473739624,24.901037216186523
