True_PM25,Predicted_PM25
11.0422535,11.975374
20.492956,20.943304
3.3380282,2.5022964
2.1690142,2.3819227
12.281691,10.8914
51.915493,49.793514
3.6760564,3.0943592
3.9014084,3.461647
53.985912,52.781937
6.1408453,7.0189433
12.323943,13.833829
9.02817,10.141193
32.732395,32.363785
20.014086,17.926008
8.253521,7.7676983
43.492954,43.889465
22.94366,23.988811
51.46479,50.542088
2.8873239,2.777283
17.760563,16.716715
57.90141,16.54276
21.633802,21.459343
32.140846,33.271107
4.3380284,3.2877069
4.5633802,3.9200692
14.971831,13.635985
58.663383,56.28312
8.985915,9.275958
4.084507,4.0555305
9.084507,7.3154383
28.859156,29.655516
52.40845,47.726513
1.3802817,1.2606167
21.478874,21.00855
46.436623,45.027164
15.760564,17.323126
29.084507,30.56862
31.535212,31.68539
2.1267605,2.4192836
5.816901,6.71244
36.661972,39.93788
15.774648,15.08759
31.87324,30.631746
36.070423,36.278572
26.225351,23.700045
71.70422,71.17914
20.633804,20.429647
12.366197,12.669882
78.46479,80.22978
27.323942,27.257318
63.78873,61.141132
12.253521,12.171561
17.225351,16.311203
35.540844,17.051355
126.53521,130.90466
16.943663,23.860325
20.563381,19.41795
17.380281,19.176409
33.6338,32.53453
21.985914,21.75
14.84507,14.421106
24.87324,22.973871
43.0,41.76535
34.47887,34.229977
7.3239436,7.219857
16.887325,19.48443
30.422535,28.305641
76.19718,77.8948
23.197184,23.19391
59.084507,55.71252
34.35211,34.877964
10.830986,10.232914
12.830985,10.029403
42.323944,44.234184
130.9155,125.636826
7.6478877,7.0313067
8.859155,8.851775
5.1267605,4.200469
18.521128,25.660114
7.098592,7.344687
20.915493,19.902021
10.15493,9.245552
29.563381,28.260386
17.408451,18.212437
59.056335,65.6596
16.056337,15.184079
4.5352116,4.245648
44.084507,44.356506
13.183099,13.051181
34.04225,38.825535
21.0,23.27907
29.859156,29.725817
37.422535,34.468594
91.281685,92.63931
28.619719,26.380854
4.464789,3.129751
20.070423,21.368986
5.197183,3.9363735
14.59155,14.282001
11.549295,13.432105
5.239436,5.177091
19.225351,19.555769
18.239437,18.297771
14.661972,15.562781
17.295774,15.719111
31.676056,33.364193
9.394366,5.7163305
6.464789,6.3681545
102.38028,100.019356
14.577465,20.907495
9.915493,12.529912
10.309859,10.452535
20.112675,18.756676
15.028169,14.058226
22.449297,19.181501
5.1408453,5.3840747
8.0422535,8.049606
21.859156,20.980028
6.0563383,6.146344
62.92958,64.28834
31.647886,31.083204
5.492958,5.9197645
6.3802814,7.221991
12.704226,14.57888
16.690142,17.39874
2.5774648,2.2979734
31.183098,29.54018
3.5633802,4.29142
9.422536,9.323135
8.140845,7.119959
14.346478,13.294572
4.8450704,5.079962
3.8873239,3.5179636
26.633802,25.931181
3.309859,5.3594728
50.85493,47.229164
22.788733,22.686768
77.64085,85.698944
3.943662,2.8680692
13.915493,14.220542
17.450705,20.62505
5.056338,4.928556
31.859154,22.74817
7.1408453,6.14193
4.4084506,4.6801972
72.521126,74.32247
46.239437,65.86642
7.5211267,7.414118
35.97183,33.526768
88.281685,92.24639
25.450705,25.504852
10.169015,10.0055065
6.5211267,5.690651
5.0140843,4.120649
23.591549,20.768309
20.253523,17.77282
2.0140846,1.9359816
3.6478875,3.2963908
3.3802817,1.8490257
16.732393,17.546648
32.507042,31.046045
4.4225354,3.9827359
26.09859,26.047302
6.0140843,4.7891626
62.661972,65.30362
45.352116,28.417612
15.394366,16.452648
6.4507046,7.044905
10.126761,10.544318
32.070423,31.915745
11.464788,11.632827
19.15493,19.295053
55.549297,53.544617
5.08169,4.043741
7.3098593,7.5406976
12.788733,11.585039
0.9859155,0.7248988
13.43662,14.036356
16.380281,16.042267
